No,名前,ふりがな,キャラ,グループ,誕生日,星座,干支,学年,身長,体重,血液型,出身地
1,柳浩太郎,やなぎ こうたろう,越前リョーマ,青学,1985/12/21,射手,丑,85,165.3,49.2,A,"ドイツ
（ベルリン）"
2,滝川英治,たきがわ えいじ,手塚国光,青学,1979/03/24,牡羊,未,78,186,79,A,大阪府
3,土屋佑壱,つちや ゆういち,大石秀一郎,青学,1979/02/06,水瓶,未,78,180,65,O,山梨県
4,Kimeru,きめる,不二周助,青学,1980/06/17,双子,申,80,162,52,B,熊本県
,,,(越前リョーマ),青学,,,,,,,,
5,一太郎,いちたろう,菊丸英二,青学,1980/07/19,蟹,申,80,170,56,A,静岡県
6,青山草太,あおやま そうた,乾貞治,青学,1979/09/17,乙女,未,79,180,,A,島根県
7,阿部よしつぐ,あべ よしつぐ,河村隆,青学,1979/05/17,牡牛,未,79,173,58,O,埼玉県
8,森山栄治,もりやま えいじ,桃城武,青学,1976/10/03,天秤,辰,76,177,69,A,長崎県
,,,越前南次郎,その他,,,,,,,,
9,郷本直也,ごうもと なおや,海堂薫,青学,1980/04/25,牡牛,申,80,186,70,O,大阪府
10,YU-SUKE,ゆーすけ,堀尾聡史,トリオ,1984/07/31,獅子,子,84,156,52,B,静岡県
11,豊永利行,とよなが としゆき,加藤勝郎,トリオ,1984/04/28,牡牛,子,84,162,48,B,東京都
12,堀田勝,ほった まさる,水野カツオ,トリオ,1980/03/17,魚,申,79,,,A,神奈川県
13,上島雪夫,うえしま ゆきお,越前南次郎,その他,1961/03/26,牡羊,丑,60,,,,東京都
14,森川次朗,もりかわ じろう,荒井将史,その他,1975/03/16,魚,卯,74,170,61,O,大阪府
15,長内正樹,おさない まさき,林大介,その他,1970/12/22,射手,戌,70,174,,,神奈川県
16,構井晃道,かまい てるみち,池田雅也,その他,1973/12/01,射手,丑,73,,,A,兵庫県
17,森内遼,もりうち りょう,佐々部,その他,1973/06/06,双子,丑,73,,,AB,兵庫県
18,永山たかし,ながやま たかし,菊丸英二,青学,1978/11/16,蠍,午,78,170,58,A,神奈川県
,,,(不二周助),青学,,,,,,,,
19,森本亮治,もりもと りょうじ,河村隆,青学,1982/07/11,蟹,戌,82,173,58,A,大阪府
20,松村武司,まつむら たけし,佐々部,その他,1975/08/03,獅子,卯,75,165,52,B,兵庫県
21,菅原卓磨,すがわら たくま,橘桔平,不動峰,1978/01/25,水瓶,午,77,183,73,O,北海道
22,小西遼生,こにし りょうせい,伊武深司,不動峰,1982/02/20,魚,戌,81,182,,A,東京都
23,松井靖幸,まつい やすゆき,神尾アキラ,不動峰,1982/07/07,蟹,戌,82,177,,A,熊本県
24,宮野真守,みやの まもる,石田鉄,不動峰,1983/06/08,双子,亥,83,182,58,B,埼玉県
25,髙木俊,たかぎ しゅん,桜井雅也,不動峰,1981/03/17,魚,酉,80,178,,A,石川県
26,遠藤雄弥,えんどう ゆうや,越前リョーマ,青学,1987/03/20,魚,卯,86,173,53,B,神奈川県
27,大口兼悟,おおくち けんご,手塚国光,青学,1981/11/09,蠍,酉,81,180,62,O,鹿児島県
28,北村栄基,きたむら えいき,河村隆,青学,1981/02/03,水瓶,酉,80,178,65,B,熊本県
29,塩澤英真,しおざわ ひでまさ,観月はじめ,ルドルフ,1986/07/24,獅子,寅,86,175.5,56,O,東京都
30,KENN,けん,不二裕太,ルドルフ,1982/03/24,牡羊,戌,81,172,57,A,東京都
31,青木堅治,あおき けんじ,赤澤吉郎,ルドルフ,1980/02/15,水瓶,申,79,174,,A,東京都
32,篠田光亮,しのだ みつよし,柳沢慎也,ルドルフ,1981/10/01,天秤,酉,81,177,59,A,神奈川県
33,加藤良輔,かとう りょうすけ,木更津淳,ルドルフ,1984/03/21,牡羊,子,83,174,,O,茨城県
,,,木更津亮,六角,,,,,,,,
34,松岡佑季,まつおか ゆうき,金田一郎,ルドルフ,1988/05/31,双子,辰,88,180,,O,神奈川県
35,YOH,よー,橘桔平,不動峰,1980/04/16,牡羊,申,80,182,60,O,東京都
36,藤原祐規,ふじわら ゆうき,神尾アキラ,不動峰,1981/04/24,牡牛,酉,81,176,58,A,三重県
37,城田優,しろた ゆう,手塚国光,青学,1985/12/26,山羊,丑,85,188,82.9,O,東京都
38,鈴木裕樹,すずき ひろき,大石秀一郎,青学,1983/10/03,天秤,亥,83,180,67,O,岩手県
39,相葉裕樹,あいば ひろき,不二周助,青学,1987/10/01,天秤,卯,87,180,58,O,千葉県
,,,入江奏多,U-17選抜,,,,,,,,
40,足立理,あだち おさむ,菊丸英二,青学,1987/12/22,射手,卯,87,182,50,O,東京都
41,荒木宏文,あらき ひろふみ,乾貞治,青学,1983/06/14,双子,亥,83,174,56,O,兵庫県
42,小谷嘉一,こたに よしかず,河村隆,青学,1982/03/25,牡羊,戌,81,184,70,O,東京都
43,加治将樹,かじ まさき,桃城武,青学,1988/01/29,水瓶,辰,87,176,65,A,東京都
44,鯨井康介,くじらい こうすけ,海堂薫,青学,1987/07/20,蟹,卯,87,180,,B,埼玉県
45,寿里,じゅり,亜久津仁,山吹,1981/02/16,水瓶,酉,80,186,,A,千葉県
46,和田正人,わだ まさと,千石清純,山吹,1979/08/25,乙女,未,79,171,55,O,高知県
47,川久保雄基,かわくぼ ゆうき,壇太一,山吹,1991/02/02,水瓶,未,90,177,50,A,東京都
48,矢崎広,やざき ひろし,南健太郎,山吹,1987/07/10,蟹,卯,87,178,,O,山形県
49,林伊織,はやし いおり,東方雅美,山吹,1981/12/30,山羊,酉,81,178,58,O,神奈川県
50,柳澤貴彦,やなぎさわ たかひこ,室町十次,山吹,1987/09/24,天秤,卯,87,,,A,神奈川県
51,加藤和樹,かとう かずき,跡部景吾,氷帝,1984/10/07,天秤,子,84,181,68,A,愛知県
52,斎藤工,さいとう たくみ,忍足侑士,氷帝,1981/08/22,獅子,酉,81,184,69,A,東京都
53,青柳塁斗,あおやぎ るいと,向日岳人,氷帝,1990/03/29,牡羊,午,89,173,,O,北海道
54,鎌苅健太,かまかり けんた,宍戸亮,氷帝,1984/02/17,水瓶,子,83,172,56,B,大阪府
55,鷹臣,たかおみ,芥川慈郎,氷帝,1986/11/10,蠍,寅,86,167,,A,東京都
56,鷲見亮,わしみ りょう,樺地崇弘,氷帝,1979/09/18,乙女,未,79,186,,A,岐阜県
57,伊達晃二,だて こうじ,鳳長太郎,氷帝,1987/11/23,射手,卯,87,182,,A,東京都
58,河合龍之介,かわい りゅうのすけ,日吉若,氷帝,1983/05/23,双子,亥,83,178,65,O,東京都
59,桜田通,さくらだ どおり,越前リョーマ,青学,1991/12/07,射手,未,91,178,53,B,東京都
60,南圭介,みなみ けいすけ,手塚国光,青学,1985/07/03,蟹,丑,85,183,68,B,東京都
61,滝口幸広,たきぐち ゆきひろ,大石秀一郎,青学,1985/05/29,双子,丑,85,179,,AB,千葉県
62,瀬戸康史,せと こうじ,菊丸英二,青学,1988/05/18,牡牛,辰,88,172,,A,福岡県
63,中山麻聖,なかやま ませい,乾貞治,青学,1988/12/25,山羊,辰,88,183,67,B,東京都
64,渡辺コウジ,わたなべ こうじ,河村隆,青学,1979/08/12,獅子,未,79,184,,A,山形県
65,高木心平,たかぎ しんぺい,桃城武,青学,1985/10/22,天秤,丑,85,178,,A,愛知県
66,原将明,はら まさあき,堀尾聡史,トリオ,1986/10/28,蠍,寅,86,163,,B,神奈川県
67,毛利友哉,もうり ゆうや,加藤勝郎,トリオ,1989/09/08,乙女,巳,89,165,,B,福岡県
68,岡本雄輝,おかもと ゆうき,水野カツオ,トリオ,1989/10/07,天秤,巳,89,,,O,兵庫県
69,川原一馬,かわはら かずま,葵剣太郎,六角,1990/12/26,山羊,午,90,170,53,O,静岡県
70,伊礼彼方,いれい かなた,佐伯虎次郎,六角,1982/02/03,水瓶,戌,81,178,,B,アルゼンチン
71,池上翔馬,いけがみ しょうま,樹希彦,六角,1984/11/12,蠍,子,84,174,,B,埼玉県
72,汐崎アイル,しおざき あいる,天根ヒカル,六角,1984/06/15,双子,子,84,182,,AB,大阪府
73,進藤学,しんどう がく,黒羽春風,六角,1980/01/07,山羊,申,79,180,,AB,東京都
,,,柘植竜二,コーチ,,,,,,,,
74,柳下大,やなぎした とも,海堂薫,青学,1988/06/03,双子,辰,88,173,61,O,神奈川県
75,川本稜,かわもと りょう,加藤勝郎,トリオ,1993/09/11,乙女,酉,93,167,43,A,埼玉県
76,江口紘一,えぐち こういち,水野カツオ,トリオ,1988/04/05,牡羊,辰,88,170,,,兵庫県
77,兼崎健太郎,かねさき けんたろう,真田弦一郎,立海,1984/06/02,双子,子,84,186,73,A,山口県
78,八神蓮,やがみ れん,幸村精市,立海,1985/12/14,射手,丑,85,183,62,O,愛知県
79,小野健斗,おの けんと,柳蓮二,立海,1989/08/09,獅子,巳,89,187,,O,東京都
,,,徳川カズヤ,U-17選抜,,,,,,,,
80,大河元気,おおかわ げんき,切原赤也,立海,1987/08/26,乙女,卯,87,168,55,B,愛知県
81,馬場徹,ばば とおる,柳生比呂士,立海,1988/06/17,双子,辰,88,182,64,A,東京都
